## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=idling_subsample_25p_dedup.pdf INPUT=idling_subsample_25p_dedup.bam OUTPUT=idling_subsample_25p_dedup_ISM.txt VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 09:55:47 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
232	52	136	2	242917615	287.209888	211.035925	27091635	FR	49	103	165	223	273	317	357	449	729	953	1381			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
872	3164
873	2938
874	3053
875	3065
876	3109
877	2992
878	3048
879	2940
880	2955
881	2823
882	2898
883	2943
884	2880
885	2800
886	2781
887	2721
888	2844
889	2692
890	2688
891	2664
892	2709
893	2620
894	2647
895	2563
896	2707
897	2691
898	2611
899	2444
900	2459
901	2487
902	2494
903	2462
904	2483
905	2450
906	2378
907	2386
908	2395
909	2327
910	2387
911	2354
912	2324
913	2311
914	2300
915	2250
916	2340
917	2227
918	2196
919	2173
920	2170
921	2191
922	2206
923	2142
924	2179
925	2159
926	2080
927	2181
928	2120
929	2104
930	2069
931	2086
932	2051
933	2012
934	1989
935	1964
936	1981
937	1947
938	2023
939	1978
940	1866
941	1899
942	1896
943	1919
944	1921
945	1781
946	1800
947	1850
948	1814
949	1855
950	1768
951	1827
952	1776
953	1806
954	1821
955	1764
956	1785
957	1702
958	1713
959	1757
960	1592
961	1720
962	1611
963	1676
964	1570
965	1670
966	1558
967	1566
968	1628
969	1560
970	1614
971	1483
972	1556
973	1469
974	1546
975	1483
976	1445
977	1509
978	1505
979	1483
980	1511
981	1477
982	1383
983	1407
984	1459
985	1391
986	1368
987	1336
988	1261
989	1358
990	1335
991	1296
992	1314
993	1292
994	1267
995	1233
996	1287
997	1242
998	1172
999	1240
1000	1197
1001	1205
1002	1234
1003	1188
1004	1126
1005	1140
1006	1160
1007	1155
1008	1125
1009	1131
1010	1109
1011	1111
1012	1116
1013	1088
1014	1030
1015	1020
1016	996
1017	1083
1018	1034
1019	991
1020	1035
1021	1013
1022	951
1023	966
1024	967
1025	968
1026	909
1027	876
1028	926
1029	950
1030	914
1031	909
1032	887
1033	880
1034	866
1035	884
1036	862
1037	853
1038	836
1039	832
1040	802
1041	819
1042	824
1043	800
1044	799
1045	756
1046	723
1047	783
1048	779
1049	725
1050	786
1051	679
1052	725
1053	725
1054	702
1055	692
1056	693
1057	676
1058	666
1059	700
1060	631
1061	648
1062	604
1063	673
1064	598
1065	660
1066	589
1067	623
1068	635
1069	613
1070	608
1071	619
1072	618
1073	597
1074	536
1075	543
1076	573
1077	521
1078	539
1079	518
1080	559
1081	563
1082	492
1083	538
1084	496
1085	473
1086	503
1087	502
1088	507
1089	472
1090	469
1091	446
1092	466
1093	478
1094	444
1095	451
1096	440
1097	453
1098	493
1099	449
1100	421
1101	473
1102	409
1103	410
1104	455
1105	464
1106	394
1107	432
1108	404
1109	418
1110	418
1111	375
1112	395
1113	405
1114	376
1115	366
1116	377
1117	358
1118	353
1119	372
1120	376
1121	341
1122	374
1123	335
1124	350
1125	347
1126	359
1127	341
1128	327
1129	330
1130	345
1131	327
1132	354
1133	328
1134	353
1135	323
1136	358
1137	305
1138	319
1139	323
1140	297
1141	334
1142	306
1143	324
1144	318
1145	288
1146	291
1147	269
1148	288
1149	305
1150	268
1151	281
1152	260
1153	293
1154	265
1155	259
1156	259
1157	259
1158	258
1159	279
1160	257
1161	234
1162	234
1163	237
1164	246
1165	245
1166	237
1167	248
1168	248
1169	210
1170	231
1171	227
1172	218
1173	216
1174	222
1175	240
1176	239
1177	207
1178	196
1179	207
1180	210
1181	203
1182	218
1183	233
1184	198
1185	178
1186	186
1187	202
1188	208
1189	205
1190	192
1191	195
1192	186
1193	215
1194	192
1195	183
1196	169
1197	188
1198	176
1199	187
1200	174
1201	183
1202	177
1203	174
1204	156
1205	163
1206	178
1207	163
1208	149
1209	154
1210	150
1211	175
1212	143
1213	170
1214	159
1215	146
1216	151
1217	159
1218	143
1219	147
1220	152
1221	149
1222	159
1223	131
1224	128
1225	121
1226	126
1227	134
1228	135
1229	128
1230	119
1231	119
1232	122
1233	118
1234	131
1235	105
1236	138
1237	134
1238	123
1239	99
1240	104
1241	90
1242	114
1243	118
1244	98
1245	123
1246	122
1247	111
1248	113
1249	108
1250	94
1251	95
1252	94
1253	98
1254	99
1255	106
1256	92
1257	105
1258	89
1259	98
1260	90
1261	112
1262	97
1263	101
1264	90
1265	81
1266	82
1267	98
1268	87
1269	77
1270	87
1271	89
1272	67
1273	86
1274	77
1275	72
1276	83
1277	77
1278	80
1279	62
1280	77
1281	73
1282	67
1283	73
1284	55
1285	81
1286	65
1287	76
1288	92
1289	70
1290	78
1291	62
1292	56
1293	50
1294	59
1295	64
1296	63
1297	55
1298	43
1299	62
1300	52
1301	62
1302	56
1303	55
1304	58
1305	52
1306	43
1307	53
1308	49
1309	69
1310	53
1311	57
1312	37
1313	39
1314	76
1315	53
1316	51
1317	54
1318	58
1319	40
1320	43
1321	37
1322	45
1323	47
1324	45
1325	44
1326	46
1327	49
1328	43
1329	39
1330	41
1331	43
1332	41
1333	45
1334	44
1335	28
1336	36
1337	36
1338	36
1339	31
1340	42
1341	39
1342	35
1343	52
1344	41
1345	45
1346	33
1347	46
1348	38
1349	33
1350	38
1351	29
1352	26
1353	29
1354	37
1355	31
1356	28
1357	29
1358	21
1359	25
1360	28
1361	34
1362	29
1363	27
1364	22
1365	24
1366	34
1367	29
1368	25
1369	26
1370	15
1371	26
1372	16
1373	28
1374	25
1375	22
1376	27
1377	20
1378	19
1379	25
1380	22
1381	33
1382	13
1383	20
1384	32
1385	22
1386	21
1387	16
1388	19
1389	19
1390	17
1391	19
1392	17
1393	22
1394	18
1395	24
1396	17
1397	20
1398	17
1399	22
1400	17
1401	14
1402	12
1403	15
1404	15
1405	14
1406	14
1407	18
1408	18
1409	19
1410	18
1411	21
1412	15
1413	9
1414	17
1415	16
1416	19
1417	25
1418	13
1419	13
1420	12
1421	15
1422	13
1423	15
1424	19
1425	9
1426	17
1427	13
1428	19
1429	12
1430	11
1431	17
1432	14
1433	19
1434	10
1435	12
1436	10
1437	17
1438	14
1439	11
1440	21
1441	27
1442	11
1443	6
1444	10
1445	12
1446	12
1447	9
1448	12
1449	18
1450	5
1451	16
1452	19
1453	9
1454	12
1455	10
1456	20
1457	11
1458	5
1459	6
1460	9
1461	9
1462	12
1463	11
1464	16
1465	12
1466	14
1467	7
1468	9
1469	21
1470	10
1471	12
1472	7
1473	12
1474	8
1475	10
1476	7
1477	13
1478	13
1479	18
1480	11
1481	8
1482	9
1483	15
1484	14
1485	14
1486	11
1487	7
1488	8
1489	14
1490	7
1491	16
1492	16
1493	11
1494	12
1495	7
1496	13
1497	13
1498	11
1499	6
1500	8
1501	5
1502	8
1503	8
1504	10
1505	2
1506	6
1507	10
1508	10
1509	12
1510	7
1511	13
1512	8
1513	7
1514	11
1515	5
1516	15
1517	10
1518	12
1519	10
1520	13
1521	9
1522	14
1523	6
1524	4
1525	11
1526	11
1527	6
1528	8
1529	7
1530	2
1531	4
1532	7
1533	14
1534	12
1535	14
1536	11
1537	12
1538	12
1539	9
1540	8
1541	11
1542	9
1543	16
1544	4
1545	6
1546	12
1547	9
1548	3
1549	5
1550	9
1551	8
1552	6
1553	3
1554	10
1555	7
1556	4
1557	8
1558	12
1559	7
1560	6
1561	10
1562	7
1563	10
1564	10
1565	7
1566	6
1567	5
1568	8
1569	8
1570	8
1571	11
1572	4
1573	15
1574	4
1575	7
1576	8
1577	8
1578	10
1579	16
1580	6
1581	9
1582	6
1583	3
1584	8
1585	5
1586	4
1587	4
1588	6
1589	9
1590	6
1591	3
1592	7

